blk_cd,admi_cd,dist_sl,bstop_cnt,tackji_ratio,dist_subway,dist_highway,blk_pop,od_cnt,tackji_ratio2
347728,41590540,110,1,0,1121,2068,0,30,1
282647,41590570,110,2,0,2521,786,0,14,0
435452,41590530,110,3,0,257,1887,0,15,0
434713,41590610,110,1,1,2988,3706,125,74,1
435038,41590600,100,5,1,35,1546,0,167,1
31658,41590585,100,4,1,2235,1092,0,119,1
350569,41590253,110,7,0,4737,1012,0,66,0
433471,41590520,110,4,0,1259,2917,0,68,0
31664,41590587,100,1,1,2083,2130,0,9,1
510983,41590253,110,2,0,5397,231,0,17,0.796269029
435403,41590262,140,1,0,11281,4044,0,2,1
348120,41590587,110,3,1,1331,2015,0,71,1
434908,41590585,110,6,1,1210,1648,0,76,1
348291,41590587,110,6,1,1132,1640,0,76,1
348127,41590585,100,4,1,1767,1378,0,38,1
433837,41590253,110,6,0,5418,194,0,58,0.385740551
360065,41590310,110,3,0,5063,236,145,26,0
433755,41590520,110,4,0,931,2601,22,84,0
30227,41590310,110,2,0,6683,1279,30,16,0
347060,41590540,110,3,0,1235,2238,0,64,0
434812,41590585,100,5,1,1814,2126,0,198,1
433846,41590585,90,2,1,2299,526,0,56,1
510830,41590253,110,9,0,5049,318,589,140,0.00074408
434749,41590586,110,2,1,1963,1527,0,283,1
30216,41590310,110,2,0,6366,2556,217,1,0.25406634
434773,41590586,110,1,1,1426,1109,0,283,1
345635,41590587,110,3,0.002077973,344,970,13,35,0.002077973
532600,41590253,110,7,0,5710,454,42,80,0.133933176
347723,41590540,110,1,0,1097,2122,0,30,0.95582861
348254,41590587,110,6,1,1366,1893,0,75,1
432719,41590550,90,2,0,1368,2497,0,70,0.047426407
537911,41590590,110,2,1,2010,1986,0,72,1
348257,41590587,110,4,1,1264,1913,0,65,1
500946,41590585,110,6,1,1435,1906,0,75,1
433897,41590253,110,6,0,6349,877,0,135,0
335864,41590310,110,2,0,6315,762,0,15,0
538973,41590587,110,4,0,646,1307,0,46,0
27460,41590530,110,1,0,1015,1471,0,19,0
532293,41590588,110,3,1,1604,2409,0,199,1
504111,41590585,100,1,1,1951,1837,0,3,1
56222,41590587,100,1,1,1861,2433,0,9,1
536958,41590588,110,2,1,2333,2934,0,102,1
434343,41590588,110,2,1,1395,2266,0,13,1
348441,41590586,110,2,1,1643,1332,0,569,1
55397,41590585,100,4,1,2002,1082,0,67,1
519133,41590253,110,6,0,5344,270,23,37,0.059812575
348115,41590587,110,4,1,1560,2082,0,51,1
345611,41590587,110,2,0.708049621,1664,2350,0,41,0.708049621
434505,41590586,110,1,1,2094,1542,72,324,1
3713,41590585,100,4,1,1941,938,0,76,1
345633,41590587,110,3,0.019969767,354,1002,35,35,0.019969767
30228,41590310,110,2,0,6505,1219,0,16,0
433691,41590520,110,2,0,573,1869,246,7,0
354067,41590253,110,2,0,5079,989,0,40,0
434786,41590586,110,1,1,1369,812,0,283,1
348111,41590587,110,3,1,1525,2121,0,50,1
347722,41590540,110,2,0,1222,2292,0,51,0
435171,41590570,110,2,0,2493,734,0,14,0
345632,41590587,110,4,0.001278013,348,1020,0,46,0.001278013
435280,41590585,110,4,1,1711,2144,0,24,1
435364,41590590,110,4,1,1680,1603,0,205,1
511015,41590588,110,1,1,2152,2925,0,101,1
348628,41590585,110,3,1,1526,1456,0,607,1
348198,41590587,110,2,1,1365,2005,0,41,1
435367,41590590,110,5,1,1724,1666,0,215,1
348252,41590587,110,2,1,1187,1870,0,41,1
434818,41590585,100,3,1,2014,1606,0,21,1
434819,41590585,100,5,1,2132,1682,0,264,1
348242,41590585,100,5,1,2091,1845,0,498,1
434750,41590586,110,1,1,1386,962,0,283,1
519183,41590588,110,3,1,1936,2707,0,105,1
435921,41590610,110,1,1,2834,3965,0,60,1
434432,41590586,110,1,1,2156,1580,309,324,1
31769,41590586,110,2,1,1948,1617,0,324,1
434890,41590585,110,3,1,1526,1750,0,313,1
435092,41590585,100,3,1,1886,1827,0,600,1
434402,41590586,110,2,1,1883,1207,0,324,1
31678,41590586,110,1,1,1784,1474,0,283,1
31679,41590586,110,1,1,1896,1555,0,283,1
434763,41590587,110,3,0.781457234,153,804,0,35,0.781457234
348409,41590586,110,2,1,1743,1261,0,283,1
348410,41590586,110,2,1,1583,1114,0,283,1
510874,41590590,100,3,1,970,925,2370,102,1
434535,41590610,110,1,1,2999,4165,0,55,1
348233,41590585,100,5,1,2063,1866,0,498,1
53796,41590585,100,4,1,2161,1186,0,119,1
434856,41590590,100,4,1,588,992,0,175,1
532304,41590600,100,2,1,495,1393,34,45,1
53940,41590587,100,1,1,1912,2363,2381,9,1
435496,41590585,100,5,1,2175,1767,0,264,1
434857,41590590,100,4,1,714,1060,0,137,1
435213,41590588,110,4,1,1503,2237,0,216,1
544,41590540,110,5,0,1622,2506,2945,80,1
347207,41590540,110,2,0,1212,2158,0,43,0.847581857
436193,41590600,110,5,1,3512,2578,4178,346,1
535692,41590600,100,2,1,1543,2835,0,7,1
434485,41590600,100,4,1,1649,3202,0,116,1
434849,41590585,100,2,1,2052,1837,0,12,1
433817,41590590,100,2,1,1812,1505,0,139,1
168097,41590259,150,2,0,12786,3076,0,20,1
344057,41590587,110,2,1,1345,2031,0,41,1
435198,41590585,110,6,1,1023,1381,54,49,1
536872,41590588,110,7,1,1643,2192,0,231,1
434345,41590588,110,3,1,2046,2803,0,105,1
184611,41590586,100,1,1,1908,1616,0,283,1
433838,41590587,100,4,0.97612504,2380,2564,821,31,0.97612504
435242,41590588,100,2,1,365,1695,0,177,1
433477,41590587,100,4,0.950083539,2154,2725,551,31,0.950083539
433584,41590520,110,2,0,484,2154,0,26,0
433585,41590520,110,3,0,319,1926,0,29,0
511093,41590588,110,1,0.995325044,2469,3116,0,101,0.995325044
511094,41590588,110,3,1,1774,2614,0,114,1
435194,41590530,110,3,0,789,1641,0,37,0
532292,41590588,110,5,1,1840,2571,3777,301,1
536125,41590610,110,1,1,2608,3899,0,60,1
348440,41590586,110,2,1,1697,1343,0,283,1
535897,41590515,130,3,1,4022,6069,0,9,1
434816,41590590,110,3,1,1750,1575,0,201,1
536890,41590588,110,5,1,1928,2369,0,217,1
435167,41590585,110,1,1,1857,1718,0,286,1
348623,41590587,110,5,1,575,1251,0,46,1
281458,41590587,110,6,1,602,1271,0,51,1
435475,41590262,140,5,0,11505,4509,0,36,1
31657,41590585,100,4,1,2063,870,0,76,1
433722,41590590,100,3,0.977030824,1948,1496,5315,201,0.977030824
354532,41590586,100,1,1,1575,1962,0,324,1
536876,41590588,110,1,1,771,1613,0,4,1
59330,41590540,110,5,0,1527,2466,0,80,1
353880,41590253,110,6,0,5749,541,0,24,1
347721,41590540,110,3,0,1320,2275,0,64,0.036339226
281750,41590253,110,6,0,5701,479,0,24,0.952279762
345649,41590587,110,2,1,1537,2223,0,41,1
536963,41590588,110,3,1,2175,2731,0,288,1
345625,41590585,100,4,1,2215,1407,6434,90,1
434735,41590600,100,4,1,444,1969,33,187,1
532937,41590590,100,6,1,1743,726,0,65,1
532298,41590590,100,2,1,2064,746,0,29,1
539112,41590590,100,2,1,2003,672,0,29,1
535900,41590515,130,3,1,3918,6149,0,9,1
56320,41590587,110,1,1,1815,2409,0,9,1
348105,41590587,110,4,1,1583,2144,0,51,1
348253,41590587,110,3,1,1262,1927,0,53,1
511025,41590590,110,1,1,2206,2295,0,10,1
433519,41590587,100,1,1,2175,2509,0,6,1
435131,41590585,110,5,1,1115,1435,118,45,1
31651,41590585,100,4,1,2179,980,0,68,1
348438,41590587,110,7,1,899,1508,0,63,1
511087,41590588,110,4,1,1323,1814,0,86,1
534975,41590515,130,2,1,3334,6620,1574,12,1
433903,41590587,100,4,1,2539,2324,0,25,1
435201,41590585,110,6,1,956,1240,0,49,1
435163,41590588,110,2,1,909,1559,0,7,1
532892,41590588,110,7,1,1687,2319,0,328,1
434788,41590588,110,3,1,623,1939,0,178,1
435203,41590585,110,6,1,885,1224,0,49,1
435204,41590587,110,4,1,500,1186,67,46,1
532583,41590600,100,2,0.945836597,1033,2559,0,12,0.945836597
262546,41590586,100,1,1,1763,1791,0,324,1
433568,41590585,100,4,1,2125,1866,142,245,1
326538,41590585,100,4,1,2192,1344,0,90,1
30182,41590310,110,2,0,6894,2237,213,1,0.142991901
348116,41590585,100,6,1,2058,1524,0,267,1
348119,41590585,100,5,1,2182,1631,0,264,1
536883,41590588,110,2,1,2001,2837,0,104,1
511031,41590588,110,1,1,2097,2906,0,101,1
536887,41590588,110,4,1,1964,2438,0,207,1
72106,41590586,100,2,1,1827,1673,0,324,1
537069,41590600,100,1,1,1426,2403,0,10,1
537066,41590600,100,1,1,1382,2485,0,10,1
532582,41590600,100,3,1,1376,2848,0,17,1
519194,41590588,110,1,1,667,2139,0,100,1
30778,41590570,110,2,0,1002,1033,0,25,0
435491,41590570,110,2,0,1608,1067,6,15,0
511104,41590530,110,1,0,403,1808,0,8,0
347020,41590540,110,2,0,1015,2293,0,51,0
434115,41590560,110,2,0,4195,1137,0,32,0
71617,41590586,110,2,1,1811,1348,4807,283,1
537915,41590590,110,3,1,1950,1998,0,89,1
57227,41590587,110,3,1,1680,2264,0,50,1
536974,41590590,110,5,1,1469,1560,0,208,1
348429,41590587,110,5,1,854,1536,4076,54,1
433907,41590520,110,2,0,1310,2917,0,41,1
434964,41590585,110,6,1,1382,1611,0,632,1
503786,41590586,110,2,1,1908,1439,0,283,1
433803,41590585,100,2,1,1933,2169,185,10,1
532902,41590585,110,5,1,933,1193,0,37,1
435230,41590585,110,5,1,874,1178,0,37,1
434102,41590560,110,3,0,4158,1159,0,51,0
434723,41590588,110,3,1,647,1901,0,178,1
435399,41590590,100,5,1,1523,1471,0,208,1
434721,41370550,110,0,0,1365,413,0,1,0
533792,41590590,100,4,1,1412,828,0,36,1
353878,41590253,110,4,0,5528,318,0,23,0.957208959
538968,41590587,110,1,0,717,1334,0,10,0
434631,41590600,100,2,1,1787,3313,0,109,1
30085,41590587,100,3,1,2346,2424,0,23,1
511073,41590588,110,5,1,1430,1807,0,96,1
433732,41590585,100,4,1,1936,2126,137,24,1
345669,41590587,110,2,1,1513,2199,0,41,1
433739,41590585,110,3,1,1743,2210,0,23,1
433774,41590585,100,4,1,1926,2117,170,24,1
345614,41590585,100,4,1,1886,1067,3387,67,1
434666,41590600,100,7,1,1069,2631,0,168,1
434204,41590253,110,3,0,6430,837,279,130,0.587890761
503903,41590585,110,4,1,1440,1638,0,608,1
348107,41590585,100,6,1,2139,1785,0,265,1
435282,41590590,100,4,1,1477,1242,0,206,1
348113,41590585,100,4,1,1972,1970,0,179,1
434157,41590560,110,6,0,3829,1717,43,35,0
31335,41590560,110,2,0,3946,1374,0,32,0
435432,41590570,110,1,0,1583,1208,0,14,0
31606,41590570,110,2,0,2436,812,0,14,0
348110,41590585,100,4,1,1850,1347,0,38,1
435071,41590585,110,5,1,1140,1475,112,45,1
530787,41590259,150,1,0,13043,2802,0,10,1
349679,41590520,110,4,0,1574,2993,0,60,0.995893889
435457,41590590,100,3,1,767,940,0,89,1
435459,41590585,100,3,1,2028,1666,0,21,1
435302,41590587,110,6,1,1484,2010,0,75,1
434892,41590585,100,2,1,2056,1903,0,12,1
349674,41590520,110,3,0,1349,2993,0,47,0.972846336
532647,41590600,100,2,0.839866136,1787,2534,0,16,0.839866136
532648,41590600,100,3,0.843258055,1730,2742,0,17,0.843258055
532589,41590600,100,1,1,1337,2498,0,10,1
532590,41590600,100,4,0.988597892,1303,2808,0,28,0.988597892
433679,41590585,100,2,1,2228,1769,107,243,1
349687,41590520,110,4,0,1504,2965,0,60,1
532924,41590520,110,5,0,1425,2950,0,76,1
537931,41590590,100,4,1,1081,690,0,117,1
510876,41590590,100,3,1,1037,989,0,102,1
31552,41590570,110,1,0,1535,1593,29,14,0
510873,41590590,100,2,1,948,887,0,98,1
29913,41590259,150,2,0,12779,3133,0,17,1
349663,41590520,110,2,0,1449,3090,0,31,0.925416216
249334,41590253,120,3,0,5553,469,0,16,1
538870,41590590,100,4,1,1112,732,0,117,1
435522,41590585,110,5,1,1374,1797,83,47,1
434968,41590585,110,4,1,1061,1500,0,35,1
538872,41590590,100,3,1,1148,779,0,99,1
539122,41590585,100,3,1,1644,1238,0,29,1
435286,41590585,100,6,1,2079,1851,0,257,1
345670,41590587,110,4,1,1638,2195,0,51,1
348109,41590585,100,5,1,2267,1643,0,264,1
533163,41590590,100,5,1,731,846,0,219,1
537906,41590590,100,2,1,1087,1038,0,9,1
536981,41590590,100,4,1,1145,1102,0,24,1
435400,41590585,100,3,1,1944,1633,0,21,1
433822,41590253,110,7,0,6266,806,0,204,0
434884,41590585,100,4,1,2083,1929,0,497,1
434790,41590588,100,2,1,461,1882,0,177,1
62632,41590540,110,4,0,1438,2790,0,60,1
348422,41590587,110,6,1,926,1547,0,59,1
56353,41590585,100,2,1,2357,1418,0,78,1
433832,41590587,100,4,0.918527408,2549,2468,0,25,0.918527408
30083,41590587,100,3,1,2443,2250,0,23,1
537925,41590590,100,5,1,1553,486,0,141,1
433790,41590590,100,6,1,1313,1075,0,242,1
433551,41590587,100,1,1,2053,2562,0,6,1
53577,41590587,100,1,1,1911,2410,0,9,1
348239,41590587,110,2,1,1248,1933,0,41,1
533517,41590590,110,3,1,1944,2095,0,89,1
539212,41590600,100,3,1,1675,2681,0,17,1
433887,41590590,100,2,1,2128,646,0,40,1
30082,41590587,100,3,1,2424,2352,0,23,1
3794,41590540,110,4,0,1371,2763,0,60,1
53997,41590585,100,4,1,1980,1007,0,67,1
432462,41590253,110,1,0,6162,738,223,2,0.078701919
433525,41590587,110,3,0.9551502,2030,2733,0,22,0.9551502
434810,41590585,110,4,1,1656,2071,92,24,1
435074,41590585,110,6,1,1078,1466,52,49,1
533808,41590590,90,6,1,1465,186,0,182,1
532896,41590590,90,4,1,1385,228,0,157,1
435058,41590587,110,4,0.98119683,360,1043,126,46,0.98119683
40571,41590585,100,3,1,2338,1305,0,81,1
345673,41590585,100,5,1,2273,1542,0,264,1
433859,41590585,90,1,0.995048372,2429,346,0,18,0.995048372
433949,41590585,90,7,0.978629494,2478,1062,0,320,0.978629494
434471,41590610,110,1,1,2866,3882,0,205,1
434472,41590600,100,2,0.946295276,1631,2998,0,7,0.946295276
434755,41590586,110,2,1,1667,1103,0,283,1
503780,41590600,100,6,1,853,2397,0,162,1
348106,41590587,110,3,1,1523,2146,0,50,1
347725,41590540,110,2,0,1264,2112,0,43,1
537619,41590530,110,2,0.992629872,273,1387,0,7,0.992629872
347119,41590540,110,2,0.020525086,1352,2152,0,43,0.9835365
51951,41590587,110,3,0.995219658,1650,2263,0,50,0.995219658
537920,41590590,110,1,1,2108,2140,0,10,1
433821,41590253,110,8,0,5920,636,703,159,0.89825925
64905,41590540,110,4,0,1515,2526,0,67,1
510923,41590253,110,5,0,5406,120,0,33,1
434842,41590262,140,5,0,11547,4512,188,36,1
536856,41590262,140,3,0.853163327,10829,3575,0,20,0.853163327
53173,41590259,150,3,0,12332,3544,0,90,1
538008,41590259,150,1,0,14481,2555,0,11,0.994052636
69121,41590587,110,4,1,1419,2024,0,62,1
538013,41590259,150,1,0,14285,2652,0,11,1
345662,41590587,110,2,1,1489,2159,0,43,1
511194,41590259,150,3,0,13275,2735,0,17,1
537918,41590590,110,1,1,2026,2080,0,10,1
434962,41590585,110,4,1,1672,1754,0,601,1
504001,41590585,110,3,1,1476,1470,0,607,1
348272,41590587,110,4,1,1207,1838,0,65,1
511310,41590259,150,4,0,12770,3068,3664,105,1
29811,41590259,140,1,0,14174,1581,0,14,1
29839,41590259,140,1,0,14104,1650,0,14,1
511280,41590259,150,2,0,12789,3181,0,14,1
209706,41590259,140,1,0,14125,1638,0,14,1
511196,41590259,150,3,0,13278,2589,0,20,1
330142,41590259,150,3,0,12566,3341,0,90,1
433935,41590253,110,4,0,4946,603,0,70,0
435003,41590585,110,6,1,1070,1338,0,49,1
511264,41590259,150,2,0,13193,2636,0,10,1
511052,41590588,110,3,1,2173,2782,0,288,1
536881,41590588,110,3,0.992480057,1827,2731,0,114,0.992480057
434119,41590253,110,1,0,6075,471,0,69,1
434831,41590585,110,6,1,1372,1844,0,75,1
435250,41590585,110,6,1,1073,1366,0,49,1
435068,41590587,110,4,1,785,1468,0,42,1
31053,41590530,110,1,0,588,1914,0,8,0
31013,41590530,110,1,0,883,1775,0,8,0
31077,41590530,110,1,0,541,1898,0,8,0
34312,41590585,110,3,1,1362,1546,0,607,1
435517,41590590,110,4,1,1848,1894,0,216,1
435100,41590588,110,3,1,1038,1579,0,11,1
433581,41590520,110,3,0,801,2471,104,63,0
532914,41590600,100,2,0,2046,2683,0,16,0.969630217
434217,41590253,110,8,0,5875,602,672,159,0.935172159
360583,41590540,110,3,0,1747,2656,0,37,0.997171985
536130,41590610,110,1,1,2801,3740,0,60,1
519255,41590588,110,5,1,1597,1926,0,279,1
348235,41590587,110,3,1,1311,1987,0,54,1
503902,41590588,100,3,1,1061,1520,0,11,1
433688,41590590,100,2,1,1815,1466,0,139,1
433606,41590585,100,2,0.999982308,2098,2021,179,10,0.999982308
330159,41590259,150,1,0,12313,3626,0,10,1
432864,41590253,110,2,0,5300,488,46,24,0
80578,41590587,100,1,1,1958,2375,0,9,1
436214,41590610,110,7,1,3820,3167,0,356,1
434977,41590585,100,3,1,1816,1805,0,600,1
435106,41590587,110,4,0.981508992,539,1192,0,46,0.981508992
434880,41590585,110,5,1,1770,1896,0,498,1
434692,41590600,100,3,1,585,2025,0,21,1
435089,41590588,100,2,1,443,1641,0,114,1
433802,41590587,100,3,1,1820,2352,0,23,1
348514,41590586,100,1,1,1694,1806,0,324,1
56802,41590587,110,2,1,1496,2247,0,43,1
348227,41590585,100,3,1,1694,1416,0,29,1
435073,41590588,100,3,1,645,1377,0,118,1
536869,41590588,110,1,1,840,2025,0,1,1
435395,41590530,110,1,0,586,2168,0,8,0
504004,41590588,110,1,1,885,1801,1845,1,1
433840,41590585,90,1,1,2487,677,0,18,1
348117,41590587,110,3,1,1479,2107,0,50,1
180797,41590585,110,2,1,1654,1478,0,569,1
350576,41590259,150,1,0,13084,2777,0,10,1
511064,41590588,110,1,1,2470,3070,0,101,1
536868,41590588,110,2,1,807,2029,0,101,1
534970,41590515,130,3,1,4404,5567,1247,8,1
535894,41590515,130,3,1,4150,5917,0,8,1
536135,41590610,110,3,1,3084,3496,0,247,1
56830,41590587,110,2,0.987821426,1581,2267,0,41,0.987821426
348123,41590587,110,3,1,1470,2071,0,50,1
435076,41590585,110,6,1,999,1413,0,49,1
435926,41590610,110,2,1,3238,4018,0,187,1
435481,41590585,110,4,1,1651,2082,120,24,1
435482,41590585,110,8,1,1659,2002,0,533,1
29671,41590253,110,7,0,5675,422,0,28,1
30232,41590310,110,5,0,7328,1481,106,19,6.08E-05
353884,41590253,110,6,0,5591,324,0,33,1
333390,41590253,110,5,0,5547,293,0,27,1
353886,41590253,110,5,0,5510,250,0,27,1
532942,41590588,110,2,1,700,2020,0,101,1
435427,41590590,110,3,1,1802,1573,0,201,1
344037,41590585,110,2,1,1592,1468,0,569,1
435188,41590588,110,3,1,1102,1673,0,11,1
434672,41590600,100,5,1,417,1979,0,198,1
30079,41590587,100,3,1,2481,2298,0,23,1
27688,41590253,110,2,0,4304,976,0,29,0
71748,41590560,110,2,0,3921,1382,0,26,0
71986,41590560,110,2,0,3944,1370,0,26,0
433681,41590590,100,4,0.670253235,1507,1127,0,145,0.670253235
539123,41590590,100,2,0.823381359,1724,1365,0,139,0.823381359
435518,41590585,100,5,1,1901,2018,0,498,1
433875,41590590,100,2,1,2196,536,0,40,1
31619,41590585,100,4,1,2247,1158,0,119,1
434983,41590588,100,3,1,572,1258,0,118,1
435338,41590590,100,3,1,1753,1509,0,201,1
214867,41590259,150,1,0,12176,3733,0,7,1
168094,41590259,150,2,0,12943,2932,0,17,1
53711,41590259,150,3,0,12674,3223,0,90,1
29917,41590585,90,3,1,2144,831,0,59,1
533200,41590590,90,2,1,1444,388,0,46,1
539113,41590590,90,2,1,1143,869,0,46,1
360058,41590310,110,5,0,6634,603,15,23,0
511305,41590259,150,1,0,12339,3560,0,10,1
434545,41590586,110,1,1,2090,1235,0,324,1
67301,41590586,110,2,1,1757,1341,0,283,1
434550,41590586,110,1,1,2135,1513,33,324,1
281457,41590587,110,6,1,638,1263,0,51,1
354548,41590586,110,2,1,1896,1639,0,324,1
31623,41590586,100,1,1,1719,1864,0,324,1
345664,41590585,100,5,1,2255,1672,0,264,1
433748,41590590,100,2,1,1762,1432,0,139,1
31667,41590585,100,4,1,1998,904,0,76,1
31644,41590587,100,1,1,1919,2455,581,9,1
433906,41590590,100,2,1,2259,731,0,29,1
72950,41590586,110,2,1,2012,1367,0,324,1
536128,41590610,110,1,1,2702,3948,0,60,1
433909,41590587,100,4,1,2478,2418,0,25,1
433666,41590585,100,4,1,2049,1913,66,245,1
345660,41590585,100,4,1,1701,1106,0,67,1
348136,41590585,100,5,1,1824,2090,0,490,1
354517,41590586,110,2,1,2007,1529,0,324,1
65198,41590586,110,2,1,1550,1117,0,283,1
354534,41590586,110,2,1,1987,1391,0,324,1
1685,41590587,100,1,1,2218,2431,2907,6,1
31665,41590585,100,5,1,2049,975,5710,85,1
433656,41590585,100,3,1,2157,1790,1999,244,1
58788,41590310,110,2,0,6678,1151,95,16,0
433657,41590585,100,4,1,2025,1955,132,185,1
28646,41590585,100,5,1,2258,1466,0,264,1
536144,41590610,110,3,1,3107,3546,0,247,1
534974,41590515,130,2,1,3414,6641,1692,12,1
69313,41590585,100,6,1,2141,1787,0,265,1
433536,41590587,100,1,1,2137,2459,0,6,1
69615,41590585,100,5,1,2226,1709,0,264,1
511084,41590590,100,3,1,794,992,0,134,1
433493,41590520,110,4,0,1274,2881,0,68,1
519182,41590590,100,5,1,881,1082,0,142,1
533177,41590590,100,3,1,991,1180,0,12,1
536980,41590590,100,6,1,1261,1392,0,212,1
434902,41590590,110,5,1,1661,1852,4363,220,1
216515,41590587,100,1,1,2264,2342,0,6,1
433639,41590585,100,3,1,1842,2239,140,23,1
433642,41590590,100,2,0.621321253,1778,1406,0,139,0.621321253
345657,41590585,100,5,1,2027,1371,0,107,1
433737,41590520,110,3,0,235,1903,23,29,0
435349,41590570,110,1,0,1693,1191,0,14,0
30161,41590310,110,1,0,6467,1255,0,14,0
434205,41590253,110,3,0,5708,407,0,69,0
536975,41590590,100,5,1,1402,1479,0,208,1
434950,41590588,100,1,1,541,1183,0,37,1
31659,41590587,100,1,1,2105,2163,0,9,1
434959,41590588,100,2,1,1004,1473,0,7,1
537926,41590590,100,4,1,1135,444,0,157,1
31582,41590570,110,1,0,1342,1280,57,14,0
536882,41590588,110,1,1,1948,2836,0,101,1
435223,41590585,110,3,1,1435,1398,0,607,1
54660,41590585,100,4,1,1899,1233,0,67,1
533500,41590590,100,4,1,1168,567,0,117,1
434813,41590590,100,3,1,1643,1486,0,201,1
536973,41590590,100,5,1,1462,1507,0,208,1
434764,41590586,110,2,1,1468,1214,0,569,1
435079,41590588,100,2,1,385,1503,0,114,1
51269,41590585,100,4,1,1840,1130,0,67,1
433614,41590585,100,3,1,2242,1696,0,252,1
349664,41590520,110,2,0,1455,3105,0,31,0.910300023
433626,41590585,100,3,1,1967,2060,53,11,1
435416,41590585,100,3,1,1988,1707,0,21,1
537930,41590590,100,1,1,943,743,0,93,1
510887,41590590,100,3,1,941,1012,0,102,1
539119,41590590,100,2,1,997,831,0,46,1
539118,41590590,100,2,1,1032,880,0,46,1
539114,41590590,100,2,1,1069,929,0,46,1
435255,41590587,110,4,1,449,1134,39,46,1
433546,41590540,110,4,0,1222,2771,0,68,0.912126505
348126,41590585,100,5,1,1902,2035,0,490,1
533192,41590590,100,3,1,891,1138,0,89,1
538869,41590590,100,2,1,982,782,0,98,1
538871,41590590,100,2,1,1017,819,0,98,1
533793,41590590,100,3,1,1070,899,0,102,1
435316,41590585,100,4,1,2037,1712,0,195,1
